Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3,
geografi,Vad heter Europas största vulkan?,Etna,Vesuvius,Stromboli,Hekla,
geografi,Vad heter Greklands näst största ö?,Euboea,Rhodos,Lesbos,Samos,
geografi,Vad kallas jordens största landmassa?,Eurasien,Amerika,Afrika,Oceania,
geografi,Vad heter tåget som förbinder London och Paris under Engelska kanalen?,Eurostar,Thalys,TGV,ICE,
geografi,Vilket svenskt världsarv består av en gammal gruvmiljö?,Falu gruva,Falköping gruva,Birka,Kist Gruvindistri,
geografi,Vad heter Europas mest kända pilgrimsmål i Portugal?,Fatima,Braga,Coimbra,Porto,
geografi,Var ligger ön Mindanao?,Filippinerna,Bhutan,Bangladesh,Peru,
geografi,Luzon tillhör vilket land?,Filippinerna,Danmark,Tyskland,Nepal,
geografi,Vilket land hör ögruppen Palawan till?,Filippinerna,Mexiko,Indonesien,Malaysia,
geografi,Tammerfors finns i vilket land?,Finland,Thailand,Tjeckien,Laos,
geografi,I vilket land ligger Esbo?,Finland,Jordanien,Turkiet,Montenegro,
geografi,Åbo finns i vilket land?,Finland,Syrien,Norge,Brasilien,
geografi,Var finns Europas största nationalpark Oulanka?,Finland,Norge,Sverige,Ryssland,
geografi,Detta land har flest öar som är bebodda året runt,Finland,Sverige,Norge,Kanada,
geografi,Vad heter appen som visar flygplan i realtid på kartan?,Flightradar24,Flightwatch,AirportApp,Planeview,
geografi,I vilken stad kan du besöka det berömda Uffizi-galleriet?,Florens,Rom,Milano,Venedig,
geografi,"Vilken stat i USA kallas ""Sunshine State""?",Florida,Texas,California,Nevada,
geografi,Vad heter halvön där Florida ligger?,Floridahalvön,Yucatán,Den iberiska halvön,Alaska,
geografi,I vilket land hittar du Bordeaux?,Frankrike,Bosnien och Hercegovina,Venezuela,Saudiarabien,
geografi,I vilket land hittar du Marseille?,Frankrike,Vietnam,Thailand,Algeriet,
geografi,Var ligger staden Lyon?,Frankrike,Guatemala,Bosnien och Hercegovina,Nederländerna,
geografi,Var finns Europas största nöjesfält Disneyland?,Frankrike,Spanien,Storbritannien,Tyskland,
geografi,Vad heter Europas största skidområde Les Trois Vallées?,Frankrike,Italien,Schweiz,Österrike,
geografi,BlaBlaCar grundades ursprungligen i detta europeiska land,Frankrike,Tyskland,Storbritannien,Spanien,
geografi,Var kan man resa till Bora Bora?,Franska Polynesien,Hawaii,Fiji,Filippinerna,
geografi,Vad heter Stockholms största arena?,Friends Arena,Avicii Arena (Globen),Tele2 Arena,Scandinavium,
geografi,Vad heter japanska vulkanen nära Tokyo?,Fuji,Hakone,Sakurajima,Asama,
geografi,Var ligger Njupeskär – Sveriges högsta vattenfall?,Fulufjällets nationalpark,Sarek,Tyresta,Abisko,
geografi,Vilket världsberömt tempel finns i Kyoto?,Fushimi Inari,Kiyomizu-dera,Todaiji,Shwedagon,
geografi,Vad heter nationalparken vid Siljansbygden?,Färnebofjärden,Tyresta,Tiveden,Sonfjället,
geografi,Var hittar man Gotlands största raukområde?,Fårö,Sudret,Visby,Kappelshamn,
geografi,Var ligger Burj Khalifa?,Förenade arabemiraten,Qatar,Albanien,Oman,
geografi,I vilken stad ligger det berömda Neuschwanstein-slottet?,Füssen,München,Augsburg,Garmisch-Partenkirchen,
geografi,Vart finns världens enda naturliga kärnreaktor?,Gabon,Kazakstan,Kanada,Australien,
geografi,Denna ögrupp ligger på ekvatorn i Stilla havet,Galapagos,Kiribati,Marshall,Caroline,
geografi,Skandinaviens högsta fjäll är,Galdhøpiggen,Kebnekaise,Glittertind,Snøhetta,
geografi,Vad heter ön i Ecuador känd för unika djurarter?,Galápagos,Madagascar,Zanzibar,Phuket,
geografi,Var finns kända torget Stortorget med Stockholms äldsta hus?,Gamla stan,Östermalm,Södermalm,Kungsbron,
geografi,Vad heter Indiens heliga flod?,Ganges,Brahmaputra,Indus,Yamuna,
geografi,Vad heter Europas mest trafikerade järnvägsstation?,Gare du Nord,Hauptbahnhof Berlin,Kings Cross,Milano Centrale,
geografi,Vad heter staden i Schweiz känd för FN:s kontor och Röda korset?,Genève,Zürich,Bern,Basel,
geografi,Vilken schweizisk region är känd för sina chokladtillverkare?,Genève,Bern,Zürich,Basel,
geografi,I vilken europeisk stad kan du besöka det berömda Musée d'Art et d'Histoire?,Genève,Zürich,Basel,Bern,
geografi,Vad heter sjön i Schweiz med Genève på strandkanten?,Genèvesjön,Bodensjön,Thunsjön,Luganosjön,
geografi,I detta land finns världens djupaste grotta,Georgien,Mexiko,USA,Frankrike,
geografi,Vad heter tjänsten där resenärer kan boka sightseeing med lokal guide?,GetYourGuide,MyGuide,Guide Mac,Big Bus,
geografi,Vad heter världsarvet som består av jättekvadratiska klippblock på Irland?,Giants Causeway,Cliffs of Moher,Skellig Michael,Slieve League,
geografi,Europa separeras från Afrika av detta sund,Gibraltar,Bosporen,Dardanellerna,Messinasundet,
geografi,Vad heter den berömda klippa vid Spaniens sydspets?,Gibraltar,Tarifa,Cadiz,Algeciras,
geografi,Denna tunnelförbindelse under Medelhavet planeras mellan Spanien och Marocko,Gibraltar-tunnel,Ceuta-tunnel,Tarifa-tunnel,Algeciras-tunnel,
geografi,Vad heter världsarvet i Albanien med osmanska hus och kullerstensgator?,Gjirokastër,Berat,Tirana,Korca,
geografi,Vad heter fenomenet när is och snö smälter och höjer havsnivån?,Glacial smältning,Issmältning,Klimatförändringar,Global uppvärmning,
geografi,Vad heter Skottlands största stad?,Glasgow,Edinburgh,Aberdeen,Dundee,
geografi,Vad heter Glaskogsområdet i Småland och Blekinge?,Glasriket,Bergslagen,Dalarna,Siljansbygden,
geografi,Vad heter öknen som täcker stora delar av Mongoliet och Kina?,Gobiöknen,Karakumöknen,Kalahari,Sahara,
geografi,Vad heter appen som används mest av resenärer för översättning?,Google Translate,Duolingo,Babbel,TalkTo,
geografi,Vad heter Googles egna reseapp som ersatte Google Trips?,Google Travel,Google Maps,Google Explorer,Google Holiday,
geografi,Vad heter Sveriges största ö?,Gotland,Öland,Orust,Hisingen,
geografi,Var kan man besöka naturfenomenet Blå lagunen?,Gotland,Öland,Småland,Uppland,
geografi,I vilket landskap ligger Fårö känd för regissören Ingmar Bergman?,Gotland,Öland,Småland,Bohuslän,
geografi,Vad heter nationalparken på Gotland?,Gotska Sandön,Fårö,Hällarna,Lilla Karlsö,
geografi,Var ligger Alhambra?,Granada,Sevilla,Madrid,Toledo,
geografi,Vad heter kanalerna i Venedig?,Grand Canal,Rialto,Canal Saint-Martin,Manzanares,
geografi,I vilken europeisk stad kan du besöka det berömda Musée Fragonard?,Grasse,Paris,Nice,Cannes,
geografi,Vad heter Australiens största öken?,Great Victoria Desert,Gobi,Atacama,Kalahari,
geografi,Vad heter Australiens största öken?,Great Victoria Desert,Simpson Desert,Gibson Desert,Great Sandy,
geografi,Akropolis finns i vilket land?,Grekland,Polen,Ungern,Pakistan,
geografi,Var ligger ön Kreta?,Grekland,Irak,Nepal,Indien,
geografi,Var kan man besöka Europas största ö Kerkyra?,Grekland,Italien,Spanien,Frankrike,
geografi,Detta land har den längsta kustlinjen i Medelhavet,Grekland,Italien,Turkiet,Spanien,
geografi,Vad heter busskortet backpackers använder i Australien?,Greyhound Pass,OzRail,Downunder Ticket,Roadrunner Pass,
geografi,Vad heter den populära resrutten från Quito till Lima?,Gringo Trail,Inka Trail,Colonial Route,Sunshine Road,
geografi,Vad heter högsta berget i Österrike?,Grossglockner,Dachstein,Weisshorn,Ortler,
geografi,Vad heter den kända utsiktsklippan i Västervik?,Gränsö,Kosterhäll,Stångehuvud,Flatruet,
geografi,Vad heter nöjesparken på Djurgården?,Gröna Lund,Liseberg,Furuvik,Skansen,
geografi,Vilken ö är världens största?,Grönland,Australien,Borneo,Sumatra,
geografi,Vart ligger världens största naturreservat?,Grönland,Antarktis,Kanada,Ryssland,
geografi,"Vad heter kända floden i Sevilla där Columbus skepp låg?",Guadalquivir,Ebro,Tagus,Douro,
geografi,Huvudstad i Guatemala?,Guatemala City,Lima,Helsingfors,Dublin,
geografi,Denna flod har det största sedimenttransporten i världen,Gula floden,Ganges,Amazonas,Kongo,
geografi,"Vad heter Islands vattenfall som ofta kallas ""Gyllene""",Gullfoss,Dettifoss,Skógafoss,Godafoss,
geografi,Var kan man se den årliga bocken?,Gävle,Vara,Varberg,Åmål,
geografi,Var ligger Furuviksparken?,Gävle,Umeå,Emtunga,Lysekil,
geografi,Vad heter vattenleden som binder ihop Vänern med Östersjön?,Göta kanal,Strömsholms kanal,Dalslands kanal,Säffle kanal,
geografi,Vad heter älven som rinner genom Göteborg?,Göta älv,Lagan,Ätran,Nissan,
geografi,Var ligger nöjesparken Liseberg?,Göteborg,Malmö,Stockholm,Uppsala,
geografi,Var finns gamla Feskekôrka?,Göteborg,Malmö,Helsingborg,Stockholm,
geografi,Var finns Gunnebo slott och trädgårdar?,Göteborg,Halmstad,Stockholm,Umeå,
geografi,Var finns Universeum?,Göteborg,Uppsala,Malmö,Sundsvall,
geografi,"Var finns kajområdet ""Bananpiren""?",Göteborg,Malmö,Stockholm,Helsingborg,
geografi,Vad heter Göteborgs operahus?,Göteborgsoperan,Kongresshuset,Operakällaren,Stadsteatern,
geografi,I vilket landskap finns världsminnet Grimeton radiostation?,Halland,Skåne,Södermanland,Gotland,
geografi,Var finns Gekås Ullared?,Halland,Småland,Sörmland,Västergötland,
geografi,Var ligger Tylösand strand?,Halmstad,Falsterbo,Ystad,Visby,
geografi,Vad heter flygplatsen i Doha?,Hamad International,Abu Dhabi International,Dubai International,Riyadh King Khalid,
geografi,Vad heter Europas nordligaste stad?,Hammerfest,Rovaniemi,Kiruna,Tromsø,
geografi,Vilken stad är huvudstad i Vietnam?,Hanoi,Ankara,Lissabon,Addis Abeba,
geografi,Vad heter Europas största bergsplatå?,Hardangervidda,Jura,Gran Paradiso,Dinariska alperna,
geografi,Huvudstad i Kuba?,Havanna,Kuala Lumpur,Singapore,New Delhi,
geografi,Vad heter den process som skapar nya havsbottnar?,Havsbottenspridning,Subduktion,Riftbildning,Plattektonik,
geografi,Vilken östat har huvudstaden Honolulu?,Hawaii,Fiji,Samoa,Guam,
geografi,Denna ögrupp ligger längst från någon kontinent,Hawaii,Azorerna,Maldiverna,Seychellerna,
geografi,Var finns Europas mest trafikerade flygplats?,Heathrow,Charles de Gaulle,Frankfurt Schiphol,,
geografi,Vad heter Islands mest aktiva vulkan?,Hekla,Katla,Askja,Eyjafjallajökull,
geografi,Var ligger Sofiero slott?,Helsingborg,Lund,Kristianstad,Malmö,
geografi,Vilken bosnisk region är känd för sina dervishdanser?,Herzegovina,Bosnien,Posavina,Krajina,
geografi,Vad heter bergskedjan mellan Indien och Kina?,Himalaya,Karakorum,Altaj,Tien Shan,
geografi,Vad heter bergskedjan där Everest Base Camp-trek ligger?,Himalaya,Anderna,Altaj,Pamir,
geografi,Vad heter bergskedjan där Annapurna Circuit ligger?,Himalaya,Anderna,Atlas,Alperna,
geografi,Denna bergskedja separerar Indien från Kina,Himalaya,Hindukush,Karakoram,Pamir,
geografi,Denna bergskedja sträcker sig genom Centralasien,Hindukush,Altaj,Tian Shan,Pamir,
geografi,Vad heter ön som delas av Haiti och Dominikanska republiken?,Hispaniola,Puerto Rico,Cuba,Jamaica,
geografi,Vad heter sajten där resenärer byter hus med varandra digitalt?,HomeExchange,Airbnb,Couchsurfing,Trivago,
geografi,Vilken ö är störst i Japan?,Honshu,Hokkaido,Kyushu,Shikoku,
geografi,Vad heter Sveriges djupaste sjö?,Hornavan,Vättern,Siljan,Storsjön,
geografi,Vad kallas nätet av billiga härbärgen backpackers använder?,Hostels,Airbnb,Capsule Hotels,Paradores,
geografi,Vad heter appen som används av backpackers för att hitta billiga hostels?,Hostelworld,PackBag,Cheapo,Backpackers IN,
geografi,Vad kallas den geologiska formation som skapade Hawaii?,Hotspot,Riftvall,Subduktionszon,Transformförkastning,
geografi,Vad heter klipporna vid Norra Halland kända för solnedgång?,Hovs Hallar,Tylösand,Kullen,Skanör,
geografi,Denna flod rinner genom New York,Hudson River,East River,Harlem River,Bronx River,
geografi,Vad heter kända musikfestivalen vid Hultsfred?,Hultsfredsfestivalen,Peace & Love,Way Out West,Storsjöyran,
geografi,Vad heter världsarvet med de sju Hälsingegårdarna?,Hälsingland,Dalarna,Sörmland,Östergötland,
geografi,I vilket landskap ligger nationalparken Sonfjället?,Härjedalen,Jämtland,Dalarna,Värmland,
geografi,Var finns Europas största nattklubb Privilege?,Ibiza,Mykonos,Berlin,Köpenhamn,
geografi,Vad heter skidorten med ”Dalarnas port till fjällen”?,Idre,Vemdalen,Funäsdalen,Åre,
geografi,Vad heter kända vattenfallet mellan Brasilien och Argentina?,Iguazúfallen,Niagarafallen,Angel Falls,Victoriafallen,
geografi,I vilket land ligger Chennai?,Indien,Pakistan,Vietnam,Paraguay,
geografi,Mumbai finns i vilket land?,Indien,Spanien,Italien,Ungern,
geografi,Var ligger staden Bangalore?,Indien,Bhutan,Nederländerna,Belgien,
geografi,I vilket land ligger Kolkata?,Indien,Dominikanska republiken,Tyskland,Colombia,
geografi,Taj Mahal finns i vilket land?,Indien,Jamaica,Mali,Ghana,
geografi,Vilket land har störst befolkning i världen?,Indien,USA,Indonesien,Ryssland,
geografi,Genom vilket land rinner floden Mekong INTE?,Indien,Laos,Kambodja,Vietnam,
geografi,Var finns Gangesfloden?,Indien,Bangladesh,Nepal,Pakistan,
geografi,I detta land ligger världens mest regntäta område?,Indien,Colombia,Hawaii,Kamerun,
geografi,I vilket hav ligger Maldiverna?,Indiska oceanen,Stilla havet,Atlanten,Röda havet,
geografi,"Vilket hav heter även ""Arabiska havet""?",Indiska oceanen,Stilla havet,Atlanten,Mexikanska golfen,
geografi,Mellan Afrika och Australien ligger detta hav,Indiska oceanen,Atlanten,Stilla havet,Norra ishavet,
geografi,Var ligger Borobudur?,Indonesien,Tjeckien,Finland,Peru,
geografi,Sumatra tillhör vilket land?,Indonesien,Tyskland,Algeriet,Chile,
geografi,Vilket land har flest vulkaner i världen?,Indonesien,Japan,Island,Filippinerna,
geografi,Var ligger den kända ögruppen Gili Islands?,Indonesien,Thailand,Filippinerna,Malaysia,
geografi,Var ligger ön Lombok?,Indonesien,Thailand,Filippinerna,Malaysia,
geografi,Flest vulkaner finns i detta land,Indonesien,Japan,Chile,Island,
geografi,Vad heter den berömda vandringsleden till Machu Picchu?,Inkaleden,Camino Real,Salkantay,Gaucho Trail,
geografi,Vad kallas den mytiska resan till Inkaruinerna utanför Cusco?,Inkaleden,Salkantay Trail,Choquequirao Trek,Ausangate Trek,
geografi,Vad är Machu Picchu känt som?,Inkastad,Egyptisk stad,Maya-pyramid,Aztektempel,
geografi,Vad heter staden känd för Ayahuasca-retreater i Peru?,Iquitos,Cusco,Lima,Arequipa,
geografi,"Var finns Cliffs of Moher?",Irland,Skottland,Island,Norge,
geografi,Vad heter huvudstaden i Pakistan?,Islamabad,Lima,Abuja,Thimphu,
geografi,Vad heter ön där vulkanen Eyjafjallajökull ligger?,Island,Grönland,Shetlandsöarna,Färöarna,
geografi,Var ligger nationalparken Vatnajökull?,Island,Norge,Sverige,Färöarna,
geografi,Var finns golden circle-rutten?,Island,Norge,Skottland,Finland,
geografi,Detta land har världens största andel förnybar energi,Island,Norge,Costa Rica,Denmark,
geografi,I detta land finns världens största koncentration av geysrar,Island,USA,Ryssland,Nya Zeeland,
geografi,Mellan Storbritannien och Irland ligger denna ö,Isle of Man,Skotska Hebriderna,Orkney,Shetland,
geografi,Vad kallas de linjer som visar lika lufttryck på en karta?,Isobarer,Isotermer,Isohyeter,Isokliner,
geografi,Vart finns världens djupaste sjö under havsnivå?,Israel,Jordanien,Palestina,Alla ovan,
geografi,Var ligger Döda havet?,Israel/Jordanien,Turkiet,Egypten,Libanon,
geografi,Vad heter staden som ligger vid Bosporen?,Istanbul,Ankara,Edirne,Izmir,
geografi,Vad heter största staden i Turkiet?,Istanbul,Ankara,Antalya,Izmir,
geografi,Var ligger Den blå moskén?,Istanbul,Ankara,Kairo,Amman,
geografi,Var hittar man katedralen Hagia Sofia?,Istanbul,Aten,Sofia,Rom,
geografi,Denna stad ligger på två kontinenter,Istanbul,Kairo,Suez,Gibraltar,
geografi,I vilken europeisk stad kan du besöka Topkapi-palatset?,Istanbul,Ankara,Izmir,Antalya,
geografi,Vad heter Turkiets största stad?,Istanbul,Ankara,Izmir,Bursa,
geografi,Vilken kroatisk region är känd för sina tryffel?,Istrien,Dalmatien,Slavonien,Zagreb,
geografi,Alitalia ersattes officiellt av detta flygbolag 2021,ITA Airways,Air Italy,Meridiana,Neos,
geografi,I vilket land ligger Turin?,Italien,Malta,Algeriet,USA,
geografi,Neapel finns i vilket land?,Italien,Uruguay,Marocko,Danmark,
geografi,Cinque Terre finns i vilket land?,Italien,Mongoliet,Belgien,Mali,
geografi,Var ligger ön Sardinien?,Italien,Etiopien,Kambodja,Bangladesh,
geografi,Vilket land har flest UNESCO-världsarv?,Italien,Spanien,Kina,Frankrike,
geografi,Vilket land är känd för vinregionen Toscana?,Italien,Frankrike,Portugal,Spanien,
geografi,Var finns Pompeji?,Italien,Frankrike,Spanien,Portugal,
geografi,Var ligger Capri?,Italien,Kroatien,Spanien,Frankrike,
geografi,Vad heter huvudstaden i Indonesien?,Jakarta,Asunción,Rom,Bukarest,
geografi,Vad heter Indonesiens huvudstad?,Jakarta,Bali,Kuala Lumpur,Manila,
geografi,Vem var första europé att segla till Nya Zeeland?,James Cook,Ferdinand Magellan,Francisco Pizarro,Vasco da Gama,
geografi,Osaka finns i vilket land?,Japan,Egypten,Filippinerna,Finland,
geografi,I vilket land hittar du Yokohama?,Japan,Malta,Nederländerna,Danmark,
geografi,I vilket land hittar du Sapporo?,Japan,Kanada,Slovenien,Nya Zeeland,
geografi,I vilket land hittar du Kyoto?,Japan,Iran,Storbritannien,Ungern,
geografi,Till vilket land hör Hokkaido?,Japan,Kuba,Bulgarien,Frankrike,
geografi,Var ligger ön Kyushu?,Japan,Österrike,Cypern,Argentina,
geografi,Var finns Mount Fuji?,Japan,Kina,Taiwan,Sydkorea,
geografi,"Vilket land kallas ibland ""Soluppgångens land""?",Japan,Kina,Thailand,Vietnam,
geografi,Denna flod mynnar i Arktiska oceanen,Jenisej,Ob,Lena,Mackenzie,
geografi,Vad heter största staden i Sydafrika?,Johannesburg,Cape Town,Pretoria,Durban,
geografi,Var finns OR Tambo International Airport?,Johannesburg,Cape Town,Durban,Pretoria,
geografi,Vad heter flygplatsen med kod JFK?,John F. Kennedy International,Newark Liberty,LaGuardia,O’Hare,
geografi,Vad heter den kända marknaden i norra Sverige som hålls varje vinter?,Jokkmokks marknad,Häggesleds julmarknad,Kista marknad,Skaras julmarknad,
geografi,Vilken albansk region är känd för sina rivieraner?,Joniska kusten,Adriatiska kusten,Alperna,Korçë,
geografi,I vilket land hittar du Petra?,Jordanien,Libanon,Finland,Kuba,
geografi,Var finns Petra – världsarvsstaden i klipporna?,Jordanien,Israel,Libanon,Egypten,
geografi,Vad heter öknen där Wadi Rum ligger?,Jordanien,Egypten,Mongoliet,Turkiet,
geografi,Vad heter öknen i Israel dit många reser för att flyta i en sjö?,Judean Desert,Negev Desert,Sahara,Gobi,
geografi,Var finns ishotellet byggt av snö och is?,Jukkasjärvi,Abisko,Arjeplog,Gällivare,
geografi,Vad heter museet som drivs av Astrid Lindgrens arv?,Junibacken,Skansen,Nordiska museet,ABBA-museet,
geografi,Vilken dansk region är känd för sina vikingar?,Jylland,Sjælland,Fyn,Bornholm,
geografi,Var ligger Jämtlandstriangeln – en populär vandringsled?,Jämtlandsfjällen,Dalarna,Västerbotten,Ångermanland,
geografi,Var finns Tändsticksmuseet?,Jönköping,Vetlanda,Uppsala,Norrköping,
geografi,Mest dödsfall bland bergsbestigare har detta berg,K2,Mount Everest,Denali,Matterhorn,
geografi,Vad heter Afghanistans huvudstad?,Kabul,Kandahar,Herat,Mazar-i-Sharif,
geografi,"I Egypten, vilken stad är huvudstad?",Kairo,Dhaka,Madrid,Tirana,
geografi,Vad heter staden känd för Ölandsbron?,Kalmar,Visby,Örebro,Växjö,
geografi,Var ligger Öland med sina långa sandstränder?,Kalmar län,Gotlands län,Hallands län,Blekinge län,
geografi,I vilket land hittar du Angkor Wat?,Kambodja,Senegal,Thailand,Nya Zeeland,
geografi,"Vilken afrikansk stad kallas ""Afrikas pärla""?",Kampala,Nairobi,Addis Abeba,Dar es Salaam,
geografi,Banff National Park finns i vilket land?,Kanada,Storbritannien,Kenya,Montenegro,
geografi,Vilket land har flest sjöar i världen?,Kanada,Sverige,Finland,Norge,
geografi,Längst kustlinje i världen har detta land,Kanada,Australien,Norge,Chile,
geografi,Vart ligger världens största meteorkrater?,Kanada,Australien,USA,Ryssland,
geografi,I detta land ligger världens nordligaste punkt av fastland,Kanada,Grönland,Norge,Ryssland,
geografi,Vilken spansk ö-grupp ligger i Atlanten väster om Marocko?,Kanarieöarna,Balearerna,Azorerna,Madeira,
geografi,Vad kallas den punkt där Atlanten och Stilla havet möts?,Kap Horn,Drakes passage,Magellans sund,Beaglekanalen,
geografi,Var finns det berömda berget Table Mountain?,Kapstaden,Durban,Lagos,Nairobi,
geografi,Vad heter största staden i Pakistan?,Karachi,Lahore,Islamabad,Rawalpindi,
geografi,Denna ökn sträcker sig genom flera länder i Centralasien,Karakum,Kyzylkum,Taklamakan,Thar,
geografi,Vilket hav ligger söder om Kuba?,Karibiska havet,Mexikanska golfen,Atlanten,PACIFIKEN,
geografi,Vilken bulgarisk region är känd för sina rosodlingar?,Karlovo-dalen,Sofia,Plovdiv,Varna,
geografi,Var finns Nobelmuséet om Alfred Nobel?,Karlskoga,Örebro,Stockholm,Luleå,
geografi,Vad heter världsarvet i Blekinge som är en örlogshamn?,Karlskrona,Lund,Visby,Kalmar,
geografi,Denna bergskedja bildar Rumäniens naturliga gräns,Karpaterna,Balkanbergen,Dinariska Alperna,Rhodope,
geografi,Vad heter världens största inlandshav?,Kaspiska havet,Östersjön,Ladoga,Aralsjön,
geografi,Vilken stad är huvudstad i Nepal?,Kathmandu,Budapest,Teheran,Amman,
geografi,Denna bergskedja delar Asien från Europa i söder,Kaukasus,Uralbergen,Altaj,Kopet Dag,
geografi,Vilken bulgarisk stad är känd för sina rosor och parfymer?,Kazanlak,Sofia,Plovdiv,Varna,
geografi,Vad heter Sveriges högsta berg?,Kebnekaise,Helagsfjället,Åreskutan,Sarektjåhkkå,
geografi,Vad heter bron som förbinder Budapest över Donau?,Kedjebron,Margaretbron,Elisabetbron,Libertybron,
geografi,Vad heter flygplatsen i Reykjavik för internationell trafik?,Keflavik,Reykjavik City,Akureyri,Egilsstadir,
geografi,Vilket land har huvudstaden Nairobi?,Kenya,Tanzania,Uganda,Rwanda,
geografi,Vad heter Europas största botaniska trädgård?,Kew Gardens,Keukenhof,Sofiero Hauptgarten,Zürich Botanica,
geografi,Vad heter gatan i Bangkok känd som backpacker-mecka?,Khao San Road,Sukhumvit,Silom,Siam Square,
geografi,Vad heter passet som förbinder Afghanistan med Pakistan?,Khyberpasset,Brennerpasset,Silk Road,Altajpasset,
geografi,Vilken är Afrikas högsta bergstopp?,Kilimanjaro,Mount Kenya,Atlasbergen,Mount Elgon,
geografi,I vilket land ligger Chengdu?,Kina,Turkiet,Ukraina,Thailand,
geografi,I vilket land ligger Guangzhou?,Kina,Oman,Frankrike,Malta,
geografi,I vilket land hittar du Shanghai?,Kina,Brasilien,Marocko,Kroatien,
geografi,I vilket land hittar du Shenzhen?,Kina,Kanada,Cypern,Storbritannien,
geografi,Var finns världens största buddhastaty Leshan?,Kina,Nepal,Cambodja,Laos,
geografi,Detta land har världens största vindenergikapacitet,Kina,USA,Tyskland,Spanien,
geografi,Vad heter den historiska muren som sträcker sig nästan 9000 km?,Kinesiska muren,Hadrianus mur,Inkamuren,Berlinmuren,
geografi,Vilken är världens största flygplats till ytan?,King Fahd International,Dubai International,Denver International,Singapore Changi,
geografi,"Vad heter huvudflygplatsen i Sydney?",Kingsford Smith,Melbourne Tullamarine,Brisbane,Perth,
geografi,Huvudstad i Jamaica?,Kingston,Ottawa,Riga,Riyadh,
geografi,Vad heter Jamaicas kända musikstad?,Kingston,Havana,Nassau,Port of Spain,
geografi,Denna ögrupp ligger längst österut i Stilla havet,Kiribati,Tonga,Fiji,Cook,
geografi,Vad heter kanske världens mest populära backpacker-ö i Thailand?,Koh Phangan,Koh Samui,Koh Phi Phi,Koh Tao,
geografi,Vad heter den väldiga regnskogen i Centralafrika?,Kongoskogen,Sahel,Guineabältet,Savannen,
geografi,Vad kallas det geografiska fenomenet där kontinenterna rör sig?,Kontinentaldrift,Plattektonik,Jordskorrerörelser,Geologisk förskjutning,
geografi,Vad heter ön som delas mellan Frankrike och Spanien?,Korsika,Baskien,Andorra,Ibiza,
geografi,Vilken montenegrinsk stad är känd för sina fjordar?,Kotor,Podgorica,Budva,Bar,
geografi,Var ligger Europas största torg Rynek Glowny?,Krakow,Wroclaw,Warszawa,Poznan,
geografi,Vilken polsk stad har den största medeltida marknadsplatsen i Europa?,Krakow,Warszawa,Gdansk,Wroclaw,
geografi,Vilken slovensk region är känd för sina grottor?,Kras,Ljubljana,Maribor,Celje,
geografi,Vad heter den ryska fästningen vid Röda torget?,Kreml,Smolensk,Novgorodfästningen,Peter-Paulfästningen,
geografi,Vad heter Greklands största ö?,Kreta,Rhodos,Lesbos,Euboea,
geografi,Mellan Svarta havet och Azovska havet ligger denna halvö,Krim,Anatolien,Balkan,Iberiska,
geografi,Vad heter största kyrkan i Moskva?,Kristus Frälsarens katedral,Kazan-katedralen,Isaakskatedralen,Sophiakatedralen,
geografi,I vilket land ligger staden Dubrovnik?,Kroatien,Italien,Grekland,Serbien,
geografi,"Var ligger Europas äldsta nationalpark Plitvicesjöarna?",Kroatien,Slovenien,Serbien,Montenegro,
geografi,"I Malaysia, vilken stad är huvudstad?",Kuala Lumpur,Guatemala City,Canberra,Dhaka,
geografi,Vad heter det stora pilgrimstillfället i Indien?,Kumbh Mela,Diwali,Holi,Lantern Festival,
geografi,Vad heter den kungliga begravningsplatsen på Haga?,Kungliga begravningsplatsen,Kyrkogården på Djurgården,Skogskyrkogården,Altorps gravfält,
geografi,Vad heter slottsanläggningen i centrala Stockholm?,Kungliga slottet,Drottningholm,Skokloster,Gripsholm,
geografi,Var ligger Stockholms stadshus?,Kungsholmen,Södermalm,Östermalm,Vasastan,
geografi,Vad heter tunnelbanestationen med mosaikkonst av Ulrik Samuelson?,Kungsträdgården,T-centralen,Hötorget,Odenplan,
geografi,Var finns Bohus fästning?,Kungälv,Uddevalla,Strömstad,Falkenberg,
geografi,Vilken litauisk region är känd för sina sanddyner?,Kurische Nehrung,Aukštaitija,Žemaitija,Suvalkija,
geografi,"Vilken lettisk region är känd för sina stränder?",Kurzeme,Vidzeme,Zemgale,Latgale,
geografi,"I Ukraina, vilken stad är huvudstad?",Kyiv,Paris,Wien,Amsterdam,
geografi,Denna stad har Europas djupaste tunnelbanestation,Kyiv,Sankt Petersburg,Prag,Budapest,
geografi,Vad heter ön där Santorini ligger?,Kykladerna,Sporaderna,Dodekaneserna,Kreta,
geografi,Var hittar du Ales stenar?,Kåseberga,Kalmar,Visby,Kungälv,
geografi,Vad heter den tyska staden känd för domkyrkan och parfym?,Köln,Bonn,Hamburg,Berlin,
geografi,Vad heter katedralen i Köln?,Kölnerdomen,Aachendomen,Lübeckdomen,Berliner Dom,
geografi,Var ligger promenaden Strøget?,Köpenhamn,Oslo,Stockholm,Bryssel,
geografi,Var finns Europas största nöjesfält Tivoli Gardens?,Köpenhamn,Stockholm,Oslo,Helsingfors,
geografi,SAS huvuhub för Europatrafik finns på denna flygplats,Köpenhamn,Stockholm,Göteborg,Oslo,
